Entity,ETI 2020 ranking
Afghanistan,
Albania,25
Algeria,80
Angola,
Antigua and Barbuda,
Argentina,47
Armenia,57
Aruba,
Australia,35
Austria,5
Azerbaijan,44
Bahamas,
Bahrain,104
Bangladesh,95
Barbados,
Belarus,
Belgium,20
Belize,
Benin,111
Bermuda,
Bhutan,
Bosnia and Herzegovina,103
Botswana,107
Brazil,30
Bulgaria,54
Burkina Faso,
Burundi,
Cambodia,90
Cameroon,100
Canada,22
Cayman Islands,
Central African Republic,
Chad,
Chile,34
China,76
Colombia,29
Comoros,
Congo,
Costa Rica,26
Croatia,23
Cuba,
Cyprus,51
Czechia,
Denmark,2
Djibouti,
Dominica,
Dominican Republic,78
Ecuador,48
Egypt,79
El Salvador,62
Equatorial Guinea,
Eritrea,
Estonia,16
Eswatini,
Ethiopia,97
Fiji,
Finland,6
France,9
French Guiana,
Gabon,
Gambia,
Georgia,33
Germany,18
Ghana,55
Greece,58
Grenada,
Guatemala,75
Guinea,
Guinea-Bissau,
Guyana,
Haiti,115
Honduras,84
Hungary,32
Iceland,8
India,85
Indonesia,72
Iraq,
Ireland,
Israel,28
Italy,27
Jamaica,81
Japan,37
Jordan,77
Kazakhstan,83
Kenya,59
Kiribati,
Kuwait,102
Kyrgyzstan,92
Latvia,11
Lebanon,112
Lesotho,
Liberia,
Libya,
Lithuania,14
Luxembourg,40
Madagascar,
Malawi,
Malaysia,39
Maldives,
Mali,
Malta,41
Mauritania,
Mauritius,
Mexico,46
Mongolia,113
Montenegro,52
Morocco,60
Mozambique,108
Myanmar,
Namibia,63
Nauru,
Nepal,96
Netherlands,13
New Caledonia,
New Zealand,10
Nicaragua,98
Niger,
Nigeria,105
North Macedonia,
Norway,4
Oman,73
Pakistan,93
Panama,50
Papua New Guinea,
Paraguay,36
Peru,42
Philippines,61
Poland,68
Portugal,19
Puerto Rico,
Qatar,56
Romania,38
Rwanda,
Saint Kitts and Nevis,
Saint Lucia,
Saint Vincent and the Grenadines,
Samoa,
Sao Tome and Principe,
Saudi Arabia,88
Senegal,110
Serbia,91
Seychelles,
Sierra Leone,
Singapore,21
Slovakia,43
Slovenia,31
Solomon Islands,
Somalia,
South Africa,106
South Sudan,
Spain,17
Sri Lanka,66
Sudan,
Suriname,
Sweden,1
Switzerland,3
Tajikistan,71
Thailand,53
Togo,
Tonga,
Trinidad and Tobago,87
Tunisia,89
Turkey,67
Turkmenistan,
Tuvalu,
Uganda,
Ukraine,101
United Arab Emirates,64
United Kingdom,7
United States,24
Uruguay,12
Uzbekistan,
Vanuatu,
Yemen,
Zambia,99
Zimbabwe,114
