Year,Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Total Electricity,% Fossil Fuel,% Nuclear,% Renewable
2000,8508.23,2242.95,2559.76,13310.94,63.919077089972596,16.850425289273332,19.230497620754058
2001,8685.66,2306.33,2487.22,13479.21,64.43745590431487,17.11027575058182,18.452268345103313
2002,9079.14,2315.0499999999997,2568.9,13963.089999999998,65.022426984285,16.579782841763535,18.39779017395147
2003,9580.57,2274.46,2595.82,14450.849999999999,66.29762263119471,15.739281772352493,17.963095596452806
2004,9992.11,2381.59,2794.82,15168.52,65.87399429871866,15.70087259666731,18.42513310461403
2005,10462.12,2371.75,2928.52,15762.390000000001,66.37394456043785,15.046893269358264,18.579162170203883
2006,10910.869999999999,2395.7200000000003,3068.19,16374.78,66.6321623863038,14.63054770812188,18.737289905574304
2007,11707.16,2341.79,3179.29,17228.24,67.95331386142752,13.592740755875235,18.453945382697242
2008,11701.19,2318.8900000000003,3451.28,17471.36,66.97354985530606,13.272521429356388,19.75392871533756
2009,11584.109999999999,2283.53,3527.05,17394.69,66.59566798833437,13.12774185685402,20.276590154811615
2010,12450.16,2343.51,3838.4900000000002,18632.16,66.82080875217903,12.577768761109825,20.601422486711147
2011,13043.56,2223.34,4024.22,19291.12,67.61432203003247,11.525199158991288,20.86047881097624
2012,13382.91,2051.5,4329.59,19764.0,67.71357012750455,10.379983808945557,21.90644606354989
2013,13696.81,2078.7,4614.94,20390.449999999997,67.17267152024601,10.194478297438263,22.632850182315742
2014,13962.82,2108.0,4902.77,20973.59,66.57334295177888,10.050735234168304,23.37592181405282
2015,13926.750000000002,2122.51,5125.79,21175.050000000003,65.7696203787004,10.023636307824539,24.206743313475055
2016,14139.119999999999,2164.1,5442.4,21745.62,65.02054206778193,9.951889162047346,25.027568770170728
2017,14428.900000000001,2205.41,5794.04,22428.350000000002,64.33331029701249,9.83313529528476,25.833554407702746
2018,14885.92,2276.16,6200.29,23362.370000000003,63.71750811240469,9.742847151209402,26.539644736385902
2019,14786.73,2351.13,6551.52,23689.38,62.41923596143082,9.924827074410558,27.655936964158624
2020,14369.39,2228.6,6971.04,23569.03,60.96725236464972,9.455628848535557,29.577118786814733
